Date,2222.SR
2025-04-03,24.963451385498047
2025-04-06,23.653583526611328
2025-04-07,23.966814041137695
2025-04-08,24.109188079833984
2025-04-09,24.06173324584961
2025-04-10,24.06173324584961
2025-04-13,24.58378028869629
2025-04-14,24.63123893737793
2025-04-15,24.488861083984375
2025-04-16,24.346485137939453
2025-04-17,24.346485137939453
2025-04-20,24.393943786621094
2025-04-21,24.156648635864258
2025-04-22,24.29902458190918
2025-04-23,24.441402435302734
2025-04-24,24.488861083984375
2025-04-27,24.488861083984375
2025-04-28,24.441402435302734
2025-04-29,24.346485137939453
2025-04-30,24.06173324584961
2025-05-01,23.919355392456055
2025-05-04,23.67256736755371
2025-05-05,23.634597778320312
2025-05-06,23.710533142089844
2025-05-07,23.577648162841797
2025-05-08,23.577648162841797
2025-05-11,23.72951889038086
2025-05-12,24.25156593322754
2025-05-13,24.25156593322754
2025-05-14,24.773616790771484
2025-05-15,24.821075439453125
2025-05-18,24.821075439453125
2025-05-19,24.915992736816406
2025-05-20,24.8685359954834
2025-05-21,24.773616790771484
2025-05-22,24.178712844848633
2025-05-25,24.034507751464844
2025-05-26,24.226783752441406
2025-05-27,24.082576751708984
2025-05-28,24.46712875366211
2025-05-29,24.034507751464844
2025-06-01,23.86145782470703
2025-06-02,24.034507751464844
2025-06-03,23.86145782470703
2025-06-04,23.84222984313965
2025-06-11,23.957595825195312
2025-06-12,23.996051788330078
2025-06-15,24.419057846069336
2025-06-16,24.322919845581055
2025-06-17,24.01527976989746
2025-06-18,23.93836784362793
2025-06-19,23.86145782470703
2025-06-22,23.86145782470703
2025-06-23,23.784547805786133
2025-06-24,23.399995803833008
2025-06-25,23.207719802856445
2025-06-26,23.361539840698242
2025-06-29,23.361539840698242
2025-06-30,23.380767822265625
2025-07-01,23.41922378540039
2025-07-02,23.601884841918945
2025-07-03,23.82300567626953
2025-07-06,23.909528732299805
2025-07-07,24.111417770385742
2025-07-08,24.130643844604492
2025-07-09,23.919139862060547
2025-07-10,24.07296371459961
2025-07-13,23.996051788330078
2025-07-14,23.899913787841797
2025-07-15,23.64995574951172
2025-07-16,23.476905822753906
2025-07-17,23.476905822753906
2025-07-20,23.178878784179688
2025-07-21,23.169265747070312
2025-07-22,23.063512802124023
2025-07-23,23.27501678466797
2025-07-24,23.10196876525879
2025-07-27,23.178878784179688
2025-07-28,23.226947784423828
2025-07-29,23.236562728881836
2025-07-30,23.30385971069336
2025-07-31,23.361539840698242
2025-08-03,23.07312774658203
2025-08-04,22.986600875854492
2025-08-05,23.188493728637695
2025-08-06,23.390382766723633
2025-08-07,23.399995803833008
2025-08-10,23.207719802856445
2025-08-11,23.12119483947754
2025-08-12,23.12119483947754
2025-08-13,23.12119483947754
2025-08-14,23.130809783935547
2025-08-17,23.226947784423828
2025-08-18,23.198104858398438
2025-08-19,23.12119483947754
2025-08-20,23.278331756591797
2025-08-21,23.11261558532715
2025-08-24,23.268587112426758
2025-08-25,23.190601348876953
2025-08-26,23.18085479736328
2025-08-27,23.141860961914062
2025-08-28,23.10287094116211
2025-08-31,23.200347900390625
2025-09-01,23.005388259887695
2025-09-02,23.151609420776367
2025-09-03,23.005388259887695
2025-09-04,23.054128646850586
2025-09-07,22.878664016723633
2025-09-08,22.664207458496094
2025-09-09,22.71294593811035
2025-09-10,22.586223602294922
2025-09-11,22.547229766845703
2025-09-14,22.576475143432617
2025-09-15,22.63496208190918
2025-09-16,22.761688232421875
2025-09-17,23.49279022216797
2025-09-18,23.85346794128418
2025-09-21,24.3018798828125
2025-09-22,24.321374893188477
2025-09-24,24.42860221862793
2025-09-25,24.42860221862793
2025-09-28,23.833972930908203
2025-09-29,24.360366821289062
2025-09-30,23.999691009521484
2025-10-01,23.999691009521484
2025-10-02,24.126413345336914
2025-10-05,24.165407180786133
2025-10-06,24.223896026611328
2025-10-07,24.18490219116211
2025-10-08,24.243391036987305
2025-10-09,24.21414566040039
2025-10-12,23.882713317871094
2025-10-13,24.106918334960938
2025-10-14,24.126413345336914
2025-10-15,24.340869903564453
2025-10-16,24.662555694580078
2025-10-19,24.526084899902344
2025-10-20,24.42860221862793
2025-10-21,24.409109115600586
2025-10-22,25.325422286987305
2025-10-23,25.20844841003418
2025-10-26,25.09147071838379
2025-10-27,25.14995765686035
2025-10-28,25.227943420410156
2025-10-29,25.266935348510742
2025-10-30,25.247438430786133
2025-11-02,24.993988037109375
2025-11-03,24.935503005981445
2025-11-04,25.110965728759766
2025-11-05,24.954998016357422
2025-11-06,25.188949584960938
2025-11-09,25.052478790283203
2025-11-10,25.28643226623535
2025-11-11,25.28643226623535
2025-11-12,25.305927276611328
2025-11-13,25.20844841003418
2025-11-16,24.935503005981445
2025-11-17,25.188949584960938
2025-11-18,25.5159969329834
2025-11-19,25.575244903564453
2025-11-20,25.456750869750977
2025-11-23,25.279006958007812
2025-11-24,24.923521041870117
2025-11-25,24.261920928955078
2025-11-26,24.222423553466797
2025-11-27,24.321168899536133
2025-11-30,24.2322998046875
2025-12-01,24.024930953979492
2025-12-02,24.094053268432617
2025-12-03,24.15329933166504
2025-12-04,24.212549209594727
2025-12-07,24.113801956176758
2025-12-08,24.015056610107422
2025-12-09,24.034805297851562
2025-12-10,24.015056610107422
2025-12-11,23.600322723388672
2025-12-14,23.5904483795166
2025-12-15,23.69906997680664
2025-12-16,23.45220375061035
2025-12-17,23.30408477783203
2025-12-18,23.353456497192383
2025-12-21,23.531200408935547
2025-12-22,23.45220375061035
2025-12-23,23.462078094482422
2025-12-24,23.45220375061035
2025-12-25,23.392955780029297
2025-12-28,23.215213775634766
2025-12-29,23.40283203125
2025-12-30,23.323835372924805
2025-12-31,23.531200408935547
2026-01-01,23.5805721282959
2026-01-04,23.205337524414062
2026-01-05,23.116466522216797
2026-01-06,23.14609146118164
2026-01-07,23.28433609008789
2026-01-08,23.353456497192383
2026-01-11,23.916309356689453
2026-01-12,23.955808639526367
2026-01-13,24.607532501220703
2026-01-14,24.666780471801758
2026-01-15,24.489036560058594
2026-01-18,24.666780471801758
2026-01-19,24.577909469604492
2026-01-20,24.68653106689453
2026-01-21,24.68653106689453
2026-01-22,24.923521041870117
2026-01-25,25.002517700195312
2026-01-26,24.943269729614258
2026-01-27,24.943269729614258
2026-01-28,25.318504333496094
2026-01-29,25.476497650146484
2026-02-01,24.864273071289062
2026-02-02,25.279006958007812
2026-02-03,25.279006958007812
2026-02-04,25.338254928588867
2026-02-05,25.279006958007812
2026-02-08,25.180261611938477
2026-02-09,25.358003616333008
2026-02-10,25.535747528076172
2026-02-11,25.496248245239258
2026-02-12,25.673992156982422
2026-02-15,25.456750869750977
2026-02-16,25.279006958007812
2026-02-17,25.121013641357422
2026-02-18,25.279006958007812
2026-02-19,25.37775421142578
2026-02-23,25.65424156188965
2026-02-24,25.5159969329834
2026-02-25,25.417251586914062
2026-02-26,24.647031784057617
2026-03-01,25.476497650146484
2026-03-02,25.891231536865234
2026-03-03,26.38496208190918
2026-03-04,25.772737503051758
2026-03-05,25.555496215820312
2026-03-08,26.602205276489258
2026-03-09,26.779949188232422
2026-03-10,26.562705993652344
2026-03-11,26.819446563720703
2026-03-12,26.523208618164062
2026-03-15,26.76019859313965
2026-03-16,26.720699310302734
2026-03-24,26.65999984741211
2026-03-25,26.860000610351562
2026-03-26,27.0
2026-03-29,26.979999542236328
2026-03-30,26.979999542236328
2026-03-31,27.399999618530273
